oso;nombre;inscritos;MAS;votosBlancos;votosNulos;votosValidos;votosEmitidos;idRecinto;Recinto;Zona;PDC;PVB_IEP;MSM;MAS;UD
;190030501;234;96;0;6;203;209;58;LICEO TEC.H. NUESTRA SRA DE LA PAZ      ;ZONA NORTE                              ;33;8;17;96;49
;190030502;232;94;2;2;205;209;58;LICEO TEC.H. NUESTRA SRA DE LA PAZ      ;ZONA NORTE                              ;31;14;22;94;44
;190030503;237;83;0;5;217;222;58;LICEO TEC.H. NUESTRA SRA DE LA PAZ      ;ZONA NORTE                              ;36;11;22;83;65
;190030504;231;76;0;7;206;213;58;LICEO TEC.H. NUESTRA SRA DE LA PAZ      ;ZONA NORTE                              ;39;10;18;76;63
;190030505;233;86;2;3;196;201;58;LICEO TEC.H. NUESTRA SRA DE LA PAZ      ;ZONA NORTE                              ;33;9;16;86;52
;190030506;226;98;1;6;198;205;58;LICEO TEC.H. NUESTRA SRA DE LA PAZ      ;ZONA NORTE                              ;29;9;9;98;53
;190030507;233;89;0;5;198;203;58;LICEO TEC.H. NUESTRA SRA DE LA PAZ      ;ZONA NORTE                              ;44;12;9;89;44
;190030508;234;84;0;4;208;212;58;LICEO TEC.H. NUESTRA SRA DE LA PAZ      ;ZONA NORTE                              ;28;8;17;84;71
;190030509;104;39;1;3;94;98;58;LICEO TEC.H. NUESTRA SRA DE LA PAZ      ;ZONA NORTE                              ;15;3;7;39;30
;190030801;232;50;1;0;198;199;141;COL. SANTA ANA                          ;ZONA CENTRAL                            ;36;15;19;50;78
;190030802;233;82;0;2;207;209;141;COL. SANTA ANA                          ;ZONA CENTRAL                            ;35;9;18;82;63
;190030803;235;63;1;5;202;208;141;COL. SANTA ANA                          ;ZONA CENTRAL                            ;45;12;24;63;58
;190030804;237;74;1;4;210;215;141;COL. SANTA ANA                          ;ZONA CENTRAL                            ;40;11;14;74;71
;190030805;235;59;2;5;206;213;141;COL. SANTA ANA                          ;ZONA CENTRAL                            ;43;18;13;59;73
;190030806;237;67;1;4;211;216;141;COL. SANTA ANA                          ;ZONA CENTRAL                            ;46;13;9;67;76
;190030807;161;37;0;4;140;144;141;COL. SANTA ANA                          ;ZONA CENTRAL                            ;30;16;9;37;48
;190040101;230;52;2;9;199;210;82;COL. EXPERIMENTAL HUGO DAVILA           ;MIRAFLORES                              ;52;17;20;52;58
;190040102;234;67;0;3;210;213;82;COL. EXPERIMENTAL HUGO DAVILA           ;MIRAFLORES                              ;53;12;17;67;61
;190040103;237;46;0;4;210;214;82;COL. EXPERIMENTAL HUGO DAVILA           ;MIRAFLORES                              ;62;9;16;46;77
;190040104;236;69;1;4;209;214;82;COL. EXPERIMENTAL HUGO DAVILA           ;MIRAFLORES                              ;42;9;16;69;73
;190040105;236;67;1;2;219;222;82;COL. EXPERIMENTAL HUGO DAVILA           ;MIRAFLORES                              ;51;12;21;67;68
;190040106;238;98;2;2;205;209;82;COL. EXPERIMENTAL HUGO DAVILA           ;MIRAFLORES                              ;24;12;13;98;58
;190040107;235;67;1;2;209;212;82;COL. EXPERIMENTAL HUGO DAVILA           ;MIRAFLORES                              ;44;11;15;67;72
